Date,Open,High,Low,Close,Volume
2026-01-26 05:00:00+00:00,0.319,0.341,0.26,0.2695,3100856.0
2026-01-27 05:00:00+00:00,0.2768,0.2915,0.27,0.2751,1752060.0
2026-01-28 05:00:00+00:00,0.2092,0.2346,0.15,0.1971,14630353.0
2026-01-29 05:00:00+00:00,0.19,0.2086,0.182,0.2086,4092037.0
2026-01-30 05:00:00+00:00,0.2006,0.23,0.1852,0.2291,6563211.0
2026-02-02 05:00:00+00:00,0.2249,0.227,0.1907,0.1966,4912509.0
2026-02-03 05:00:00+00:00,0.1969,0.2001,0.1888,0.191,881509.0
2026-02-04 05:00:00+00:00,0.195,0.2071,0.171,0.176,2313357.0
2026-02-05 05:00:00+00:00,0.1843,0.193,0.1654,0.1654,3124238.0
2026-02-06 05:00:00+00:00,0.17,0.1793,0.15,0.162,2810795.0
2026-02-09 05:00:00+00:00,0.2209,0.2914,0.187,0.252,382323175.0
2026-02-10 05:00:00+00:00,0.2,0.2444,0.1844,0.209,22507605.0
2026-02-11 05:00:00+00:00,0.198,0.23,0.198,0.217,5061736.0
2026-02-12 05:00:00+00:00,0.2128,0.2398,0.2029,0.2078,3806562.0
2026-02-13 05:00:00+00:00,0.2025,0.217,0.1922,0.1922,1739708.0
2026-02-17 05:00:00+00:00,0.186,0.199,0.175,0.1822,2500551.0
2026-02-18 05:00:00+00:00,0.1762,0.1967,0.1746,0.188,1213374.0
2026-02-19 05:00:00+00:00,0.1926,0.195,0.1805,0.1883,770376.0
2026-02-20 05:00:00+00:00,0.19,0.19,0.175,0.1825,1050475.0
2026-02-23 05:00:00+00:00,0.2213,0.285,0.2008,0.2611,179580236.741649
2026-02-24 05:00:00+00:00,0.3127,0.43,0.2501,0.2908,251509534.223626
2026-02-25 05:00:00+00:00,0.285,0.363,0.2501,0.3125,24209464.817598
2026-02-26 05:00:00+00:00,0.3494,0.389,0.2875,0.3018,15594763.360514
2026-02-27 05:00:00+00:00,0.3133,0.34,0.2601,0.2668,6100623.36425
