Date,Open,High,Low,Close,Volume
2024-03-04 05:00:00+00:00,12.73,13.262,12.046,12.54,105106.131579
2024-03-05 05:00:00+00:00,12.5362,12.5362,11.875,12.16,79186.315789
2024-03-06 05:00:00+00:00,12.16,12.2702,11.7078,12.1372,75511.236842
2024-03-07 05:00:00+00:00,12.1448,14.0562,12.1372,13.9916,260067.526316
2024-03-08 05:00:00+00:00,14.2158,15.314,13.9916,14.839,248078.473684
2024-03-11 04:00:00+00:00,14.8276,15.181,14.25,15.162,138086.105263
2024-03-12 04:00:00+00:00,14.3146,16.967,14.3146,16.72,339526.710526
2024-03-13 04:00:00+00:00,19.76,19.8512,15.238,15.96,1197702.947368
2024-03-14 04:00:00+00:00,17.1,18.0462,15.96,16.302,360818.131579
2024-03-15 04:00:00+00:00,16.5604,17.8486,16.34,17.48,363114.657895
2024-03-18 04:00:00+00:00,17.48,17.518,16.15,17.1,216633.684211
2024-03-19 04:00:00+00:00,17.1,17.1,16.416,16.815,145793.236842
2024-03-20 04:00:00+00:00,17.1,17.1,15.124,15.96,326798.578947
2024-03-21 04:00:00+00:00,15.96,16.1614,15.2,15.485,154726.631579
2024-03-22 04:00:00+00:00,15.6446,15.8612,14.896,15.8612,173929.684211
2024-03-25 04:00:00+00:00,16.1158,16.91,15.846,16.264,145490.710526
2024-03-26 04:00:00+00:00,16.72,16.986,16.0854,16.3096,102833.5
2024-03-27 04:00:00+00:00,16.2108,16.53,16.1196,16.34,77961.421053
2024-03-28 04:00:00+00:00,16.3248,16.3362,15.238,15.713,149368.736842
